Alpha_101: 0.021502087297825948, Validation Accuracy: 0.4995
Alpha_102: 0.021094102400445482, Validation Accuracy: 0.6855
Alpha_103: 0.02062337704542913, Validation Accuracy: 0.4995
Alpha_104: 0.021053175809714726, Validation Accuracy: 0.5640
Alpha_105: 0.02061901719891464, Validation Accuracy: 0.4995
Alpha_106: 0.02020240560800333, Validation Accuracy: 0.5640
Alpha_107: 0.01980229819725637, Validation Accuracy: 0.4995
Alpha_108: 0.02017867539526154, Validation Accuracy: 0.6855
Alpha_109: 0.019765755887219984, Validation Accuracy: 0.5000
Alpha_110: 0.0194080330493789, Validation Accuracy: 0.5640
Alpha_111: 0.01905154113495624, Validation Accuracy: 0.4995
Alpha_112: 0.019365391468078925, Validation Accuracy: 0.6855
Alpha_113: 0.018983756993937208, Validation Accuracy: 0.5000
Alpha_114: 0.01868522651325103, Validation Accuracy: 0.5640
Alpha_115: 0.018355512366498173, Validation Accuracy: 0.4995
Alpha_116: 0.018613746096466183, Validation Accuracy: 0.6855
Alpha_117: 0.018244795010650766, Validation Accuracy: 0.4995
Alpha_118: 0.017999082167704773, Validation Accuracy: 0.5640
Alpha_119: 0.017708972659175398, Validation Accuracy: 0.4995
Alpha_120: 0.01791695693300789, Validation Accuracy: 0.6855
Alpha_121: 0.01757057956289317, Validation Accuracy: 0.5000
Alpha_122: 0.01737271843685665, Validation Accuracy: 0.5640
Alpha_123: 0.017106436182879062, Validation Accuracy: 0.4995
Alpha_124: 0.017269264308983595, Validation Accuracy: 0.6855
Alpha_125: 0.016946191268084155, Validation Accuracy: 0.4995
Alpha_126: 0.016820673516884762, Validation Accuracy: 0.5640
Alpha_127: 0.016542393507090105, Validation Accuracy: 0.4995
Alpha_128: 0.01663580079420406, Validation Accuracy: 0.6855
Alpha_129: 0.016352555268140483, Validation Accuracy: 0.5000
Alpha_130: 0.01626452123917739, Validation Accuracy: 0.5640
Alpha_131: 0.01601470258772874, Validation Accuracy: 0.4995
Alpha_132: 0.016072961142062456, Validation Accuracy: 0.6855
Alpha_133: 0.015808580346721612, Validation Accuracy: 0.5000
Alpha_134: 0.01575427795816342, Validation Accuracy: 0.5640
Alpha_135: 0.015519553267718743, Validation Accuracy: 0.4995
Alpha_136: 0.01554597911329662, Validation Accuracy: 0.6855
Alpha_137: 0.015358960519365172, Validation Accuracy: 0.5735
Alpha_138: 0.013187296466952363, Validation Accuracy: 0.5640
Alpha_139: 0.015491165882109732, Validation Accuracy: 0.4995
Alpha_140: 0.015227250907325166, Validation Accuracy: 0.5640
Alpha_141: 0.015019425723374964, Validation Accuracy: 0.4995
Alpha_142: 0.015123579065735936, Validation Accuracy: 0.6855
Alpha_143: 0.014875927874929473, Validation Accuracy: 0.5000
